ticker,name,exchange
FITB,Fifth Third Bancorp,XNAS
FIX,Comfort Systems USA,XNAS
FOX,Fox Corporation (Class B),XNAS
FOXA,Fox Corporation (Class A),XNAS
FRT,Federal Realty Investment Trust,XNYS
FSLR,First Solar,XNAS
FTNT,Fortinet,XNAS
FTV,Fortive,XNYS
GD,General Dynamics,XNYS
GDDY,GoDaddy,XNAS
GE,GE Aerospace,XNYS
GEHC,GE HealthCare,XNAS
GEN,Gen Digital,XNAS
GEV,GE Vernova,XNYS
GILD,Gilead Sciences,XNAS
GIS,General Mills,XNYS
GL,Globe Life,XNYS
GLW,Corning Inc.,XNYS
GM,General Motors,XNYS
GNRC,Generac,XNAS
GOOG,Alphabet Inc. (Class C),XNAS
GOOGL,Alphabet Inc. (Class A),XNAS
GPC,Genuine Parts Company,XNYS
GPN,Global Payments,XNYS
GRMN,Garmin,XNAS
GS,Goldman Sachs,XNYS
GWW,W. W. Grainger,XNAS
HAL,Halliburton,XNYS
HAS,Hasbro,XNAS
HBAN,Huntington Bancshares,XNAS
HCA,HCA Healthcare,XNYS
HD,Home Depot (The),XNYS
HIG,Hartford (The),XNYS
HII,Huntington Ingalls Industries,XNYS
HLT,Hilton Worldwide,XNYS
HON,Honeywell,XNAS
HOOD,Robinhood Markets,XNAS
HPE,Hewlett Packard Enterprise,XNAS
HPQ,HP Inc.,XNAS
HRL,Hormel Foods,XNYS
HSIC,Henry Schein,XNYS
HST,Host Hotels & Resorts,XNAS
HSY,Hershey Company (The),XNYS
HUBB,Hubbell Incorporated,XNAS
HUM,Humana,XNYS
HWM,Howmet Aerospace,XNYS
IBKR,Interactive Brokers,XNYS
IBM,IBM,XNAS
ICE,Intercontinental Exchange,XNYS
IDXX,Idexx Laboratories,XNAS
IEX,IDEX Corporation,XNAS
IFF,International Flavors & Fragrances,XNYS
INCY,Incyte,XNAS
INTC,Intel,XNAS
INTU,Intuit,XNAS
INVH,Invitation Homes,XNYS
IP,International Paper,XNYS
IQV,IQVIA,XNYS
IR,Ingersoll Rand,XNAS
IRM,Iron Mountain,XNAS
ISRG,Intuitive Surgical,XNAS
IT,Gartner,XNAS
ITW,Illinois Tool Works,XNYS
IVZ,Invesco,XNYS
J,Jacobs Solutions,XNYS
JBHT,J.B. Hunt,XNAS
JBL,Jabil,XNAS
JCI,Johnson Controls,XNYS
JKHY,Jack Henry & Associates,XNAS
JNJ,Johnson & Johnson,XNYS
JPM,JPMorgan Chase,XNYS
KDP,Keurig Dr Pepper,XNAS
KEY,KeyCorp,XNYS
KEYS,Keysight Technologies,XNAS
KHC,Kraft Heinz,XNAS
KIM,Kimco Realty,XNYS
KKR,KKR & Co.,XNYS
KLAC,KLA Corporation,XNAS
KMB,Kimberly-Clark,XNYS
KMI,Kinder Morgan,XNYS
KO,Coca-Cola Company (The),XNYS
KR,Kroger,XNYS
KVUE,Kenvue,XNYS
L,Loews Corporation,XNYS
LDOS,Leidos,XNYS
LEN,Lennar,XNYS
LH,Labcorp,XNYS
LHX,L3Harris,XNYS
LII,Lennox International,XNAS
LIN,Linde plc,XNYS
LITE,Lumentum,XNAS
LLY,Lilly (Eli),XNYS
LMT,Lockheed Martin,XNYS
LNT,Alliant Energy,XNAS
LOW,Lowe's,XNYS
LRCX,Lam Research,XNAS
LULU,Lululemon Athletica,XNAS
LUV,Southwest Airlines,XNYS
LVS,Las Vegas Sands,XNAS
LYB,LyondellBasell,XNYS
LYV,Live Nation Entertainment,XNAS
MA,Mastercard,XNYS
MAA,Mid-America Apartment Communities,XNAS
MAR,Marriott International,XNAS
MAS,Masco,XNYS
MCD,McDonald's,XNYS
MCHP,Microchip Technology,XNAS
MCK,McKesson Corporation,XNYS
MCO,Moody's Corporation,XNYS
MDLZ,Mondelez International,XNAS
MDT,Medtronic,XNYS
MET,MetLife,XNYS
META,Meta Platforms,XNAS
MGM,MGM Resorts,XNAS
MKC,McCormick & Company,XNYS
MLM,Martin Marietta Materials,XNYS
MMM,3M,XNYS
MNST,Monster Beverage,XNAS
MO,Altria,XNYS
MOS,Mosaic Company (The),XNYS
MPC,Marathon Petroleum,XNYS
MPWR,Monolithic Power Systems,XNAS
MRK,Merck & Co.,XNYS
MRNA,Moderna,XNAS
MRSH,Marsh McLennan,XNYS
MS,Morgan Stanley,XNYS
MSCI,MSCI Inc.,XNAS
MSFT,Microsoft,XNAS
MSI,Motorola Solutions,XNYS
MTB,M&T Bank,XNYS
MTD,Mettler Toledo,XNYS
MU,Micron Technology,XNAS
NCLH,Norwegian Cruise Line Holdings,XNYS
NDAQ,"Nasdaq, Inc.",XNAS
NDSN,Nordson Corporation,XNYS
NEE,NextEra Energy,XNYS
NEM,Newmont,XNYS
NFLX,Netflix,XNAS
NI,NiSource,XNYS
NKE,"Nike, Inc.",XNYS
NOC,Northrop Grumman,XNYS
NOW,ServiceNow,XNAS
NRG,NRG Energy,XNYS
NSC,Norfolk Southern,XNYS
NTAP,NetApp,XNAS
NTRS,Northern Trust,XNAS
NUE,Nucor,XNYS
NVDA,Nvidia,XNAS
NVR,"NVR, Inc.",XNYS
NWS,News Corp (Class B),XNYS
NWSA,News Corp (Class A),XNYS
NXPI,NXP Semiconductors,XNAS
O,Realty Income,XNYS
ODFL,Old Dominion,XNAS
OKE,Oneok,XNYS
OMC,Omnicom Group,XNYS
ON,ON Semiconductor,XNAS
ORCL,Oracle Corporation,XNAS
ORLY,O’Reilly Automotive,XNAS
OTIS,Otis Worldwide,XNYS
OXY,Occidental Petroleum,XNYS
PANW,Palo Alto Networks,XNAS
PAYX,Paychex,XNAS
PCAR,Paccar,XNAS
PCG,PG&E Corporation,XNYS
PEG,Public Service Enterprise Group,XNYS
PEP,PepsiCo,XNAS
PFE,Pfizer,XNYS
PFG,Principal Financial Group,XNYS
PG,Procter & Gamble,XNYS
PGR,Progressive Corporation,XNYS
PH,Parker Hannifin,XNYS
PHM,PulteGroup,XNYS
PKG,Packaging Corporation of America,XNYS
PLD,Prologis,XNYS
PLTR,Palantir Technologies,XNAS
PM,Philip Morris International,XNYS
PNC,PNC Financial Services,XNYS
PNR,Pentair,XNYS
PNW,Pinnacle West Capital,XNYS
PODD,Insulet Corporation,XNYS
POOL,Pool Corporation,XNAS
PPG,PPG Industries,XNYS
PPL,PPL Corporation,XNYS
PRU,Prudential Financial,XNYS
PSA,Public Storage,XNYS
PSKY,Paramount Skydance Corporation,XNYS
PSX,Phillips 66,XNYS
PTC,PTC Inc.,XNAS
PWR,Quanta Services,XNAS
PYPL,PayPal,XNAS
Q,Qnity Electronics,XNYS
QCOM,Qualcomm,XNAS
RCL,Royal Caribbean Group,XNYS
REG,Regency Centers,XNYS
REGN,Regeneron Pharmaceuticals,XNAS
RF,Regions Financial Corporation,XNYS
RJF,Raymond James Financial,XNAS
RL,Ralph Lauren Corporation,XNYS
RMD,ResMed,XNAS
ROK,Rockwell Automation,XNYS
ROL,"Rollins, Inc.",XNAS
ROP,Roper Technologies,XNAS
ROST,Ross Stores,XNAS
RSG,Republic Services,XNYS
RTX,RTX Corporation,XNYS
RVTY,Revvity,XNAS
SATS,EchoStar,XNYS
SBAC,SBA Communications,XNAS
SBUX,Starbucks,XNAS
SCHW,Charles Schwab Corporation,XNAS
SHW,Sherwin-Williams,XNYS
SJM,J.M. Smucker Company (The),XNYS
SLB,Schlumberger,XNYS
SMCI,Supermicro,XNAS
SNA,Snap-on,XNAS
SNDK,Sandisk,XNAS
SNPS,Synopsys,XNAS
SO,Southern Company,XNYS
SOLV,Solventum,XNYS
SPG,Simon Property Group,XNYS
SPGI,S&P Global,XNAS
SRE,Sempra,XNYS
STE,Steris,XNYS
STLD,Steel Dynamics,XNAS
STT,State Street Corporation,XNYS
STX,Seagate Technology,XNAS
STZ,Constellation Brands,XNYS
SW,Smurfit Westrock,XNYS
SWK,Stanley Black & Decker,XNYS
SWKS,Skyworks Solutions,XNAS
SYF,Synchrony Financial,XNAS
